INCIDENT_NUMBER;OFFENSE_CODE_GROUP;OCCURRED_ON_DATE;UCR_PART;Lat;Long
I182080050;Aircraft;03/10/2018 20:49;Part Three;4.237.525.782;-7.102.466.343
I182080043;Motor Vehicle Accident Response;03/10/2018 19:33;Part Three;4.234.432.328;-7.115.778.368
I182080037;Other;03/10/2018 18:35;Part Two;4.228.076.737;-7.104.736.497
I182080028;Investigate Property;03/10/2018 18:24;Part Three;4.232.527.567;-7.108.351.579
I182080022;Medical Assistance;03/10/2018 19:19;Part Three;4.235.321.122;-7.114.841.124
I182080016;Vandalism;30/09/2018 00:00;Part Two;4.227.234.506;-7.106.871.774
I182080009;Fraud;03/10/2018 19:01;Part Two;4.229.384.269;-7.107.609.427
I182080002;Verbal Disputes;03/10/2018 17:56;Part Three;4.232.910.801;-7.106.879.344
I182079994;Larceny;03/10/2018 16:49;Part One;4.236.110.964;-7.106.741.369
I182079987;Larceny;03/10/2018 16:30;Part One;4.235.895.455;-7.105.035.005
I182079981;Vandalism;03/10/2018 16:25;Part Two;4.229.472.275;-7.107.058.534
I182079973;Larceny;03/10/2018 13:40;Part One;4.235.997.967;-7.105.474.135
I182079967;Medical Assistance;03/10/2018 15:16;Part Three;4.233.056.977;-7.109.959.089
I182079961;Property Found;03/10/2018 16:37;Part Three;4.236.179.428;-7.105.711.270
I182079954;Vandalism;02/10/2018 11:00;Part Two;4.231.847.226;-7.108.409.289
I182079949;Medical Assistance;03/10/2018 14:15;Part Three;4.236.025.385;-7.106.447.113
I182079943;Other;03/10/2018 14:26;Part Two;4.232.138.096;-7.107.220.090
I182079936;Other;03/10/2018 14:04;Part Two;4.235.505.244;-7.107.390.742
I182079930;Motor Vehicle Accident Response;03/10/2018 14:12;Part Three;4.225.602.841;-7.112.190.725
I182079923;Warrant Arrests;03/10/2018 13:25;Part Three;4.228.873.871;-7.107.112.627
I182079916;Drug Violation;03/10/2018 12:27;Part Two;4.235.241.815;-7.106.525.499
I182079908;Property Lost;01/10/2018 12:45;Part Three;4.235.637.531;-7.106.213.513
I182079899;Larceny;03/10/2018 13:38;Part One;4.227.470.119;-7.109.344.053
I182079893;Vandalism;03/10/2018 12:28;Part Two;4.230.030.819;-7.107.206.425
I182079885;Investigate Person;03/10/2018 12:44;Part Three;4.238.229.042;-7.103.930.120
I182079879;Larceny From Motor Vehicle;02/10/2018 18:15;Part One;4.232.639.844;-7.111.152.626
I182079872;Vandalism;03/10/2018 05:30;Part Two;4.230.443.502;-7.106.862.907
I182079864;Other;03/10/2018 11:34;Part Two;4.235.231.190;-7.106.370.510
I182079856;Other;03/10/2018 11:39;Part Three;4.233.402.461;-7.109.039.049
I182079848;Vandalism;02/10/2018 20:00;Part Two;4.231.775.075;-7.106.497.408
I182079843;Warrant Arrests;03/10/2018 10:23;Part Three;4.224.798.117;-7.111.830.421
I182079835;Towed;03/10/2018 09:32;Part Three;4.234.587.157;-7.108.938.851
I182079829;Fire Related Reports;03/10/2018 09:56;Part Three;4.237.757.302;-7.102.985.538
I182079823;Simple Assault;03/10/2018 09:00;Part Two;4.231.354.588;-7.109.179.044
I182079819;Vandalism;03/10/2018 00:00;Part Two;4.230.431.938;-7.106.962.209
I182079810;Warrant Arrests;03/10/2018 08:50;Part Three;4.230.514.171;-7.105.898.128
I182079802;Motor Vehicle Accident Response;03/10/2018 07:26;Part Three;4.237.465.710;-7.103.822.833
I182079797;Harassment;03/10/2018 08:00;Part Two;4.233.056.715;-7.108.806.813
I182079792;Motor Vehicle Accident Response;03/10/2018 07:01;Part Three;4.227.298.027;-7.109.370.551
I182079783;Aggravated Assault;03/10/2018 03:13;Part One;4.231.803.027;-7.107.787.472
I182079776;Other;03/10/2018 01:16;Part Three;4.231.508.518;-7.108.508.813
I182079764;Investigate Person;02/10/2018 22:47;Part Three;4.233.876.886;-7.107.503.742
I182079756;Other;02/10/2018 23:02;Part Two;4.231.855.552;-7.107.173.610
I182079747;Motor Vehicle Accident Response;02/10/2018 21:56;Part Three;4.229.968.950;-7.106.511.019
I182079740;Medical Assistance;02/10/2018 21:22;Part Three;4.233.635.690;-7.104.344.551
I182079732;Simple Assault;02/10/2018 20:15;Part Two;4.233.152.148;-7.107.085.307
I182079726;Medical Assistance;02/10/2018 20:36;Part Three;4.231.259.630;-7.109.287.584
I182079720;Verbal Disputes;02/10/2018 19:49;Part Three;4.227.938.152;-7.107.661.753
I182079714;Larceny;02/10/2018 07:30;Part One;4.235.512.339;-7.106.087.980
I182079704;Motor Vehicle Accident Response;02/10/2018 18:40;Part Three;4.231.126.459;-7.107.003.979
I182079698;Violations;02/10/2018 18:55;Part Two;4.232.130.010;-7.108.567.786
I182079691;Medical Assistance;02/10/2018 18:06;Part Three;4.228.627.779;-7.104.486.215
I182079685;Fraud;28/09/2018 09:21;Part Two;4.233.308.097;-7.110.165.376
I182079677;Motor Vehicle Accident Response;02/10/2018 17:43;Part Three;4.227.721.544;-7.107.724.022
I182079671;Robbery;02/10/2018 16:57;Part One;4.228.863.337;-7.108.990.388
I182079666;Drug Violation;02/10/2018 14:00;Part Two;4.233.280.882;-7.106.729.226
I182079655;Motor Vehicle Accident Response;26/09/2018 18:45;Part Three;4.233.748.963;-7.110.880.593
I182079648;Investigate Property;02/10/2018 17:02;Part Three;4.236.643.546;-7.106.135.413
I182079638;Warrant Arrests;02/10/2018 15:54;Part Three;4.232.696.647;-7.106.198.607
I182079631;Medical Assistance;02/10/2018 15:18;Part Three;4.227.668.221;-7.112.065.268
I182079622;Vandalism;02/10/2018 12:18;Part Two;4.233.282.094;-7.110.095.108
I182079617;Simple Assault;02/10/2018 14:10;Part Two;4.235.521.625;-7.106.012.863
I182079611;Larceny;29/09/2018 14:50;Part One;4.234.081.590;-7.108.138.380
I182079605;Residential Burglary;02/10/2018 13:50;Part One;4.227.315.669;-7.116.132.745
I182079593;Embezzlement;12/09/2018 17:18;Part Two;4.228.314.714;-7.111.374.152
I182079587;Larceny From Motor Vehicle;02/10/2018 11:30;Part One;4.232.490.502;-7.106.433.480
I182079580;Motor Vehicle Accident Response;01/10/2018 18:30;Part Three;4.235.408.145;-7.105.977.436
I182079569;Larceny;02/10/2018 10:42;Part One;4.231.195.475;-7.107.871.912
I182079563;Verbal Disputes;02/10/2018 11:13;Part Three;4.228.693.222;-7.109.070.677
I182079557;Other;02/10/2018 11:21;Part Two;4.234.583.760;-7.114.492.138
I182079549;Auto Theft;30/09/2018 22:00;Part One;4.234.936.718;-7.116.554.188
I182079541;Medical Assistance;02/10/2018 09:48;Part Three;4.233.093.363;-7.110.956.443
I182079533;Verbal Disputes;02/10/2018 09:46;Part Three;4.233.626.664;-7.114.950.271
I182079526;Towed;02/10/2018 08:07;Part Three;4.235.105.269;-7.116.451.165
I182079520;Robbery;02/10/2018 08:05;Part One;4.232.863.172;-7.108.309.899
I182079515;Verbal Disputes;02/10/2018 07:53;Part Three;4.227.662.691;-7.108.123.973
I182079506;Motor Vehicle Accident Response;02/10/2018 06:37;Part Three;4.225.951.760;-7.111.893.273
I182079496;Verbal Disputes;02/10/2018 00:58;Part Three;4.228.236.818;-7.108.972.869
I182079486;Recovered Stolen Property;02/10/2018 00:30;Part Two;4.234.321.778;-7.109.453.163
I182079480;Other;02/10/2018 00:18;Part Two;4.235.029.374;-7.107.744.671
I182079469;Motor Vehicle Accident Response;01/10/2018 22:06;Part Three;4.234.729.751;-7.108.773.575
I182079462;Simple Assault;01/10/2018 21:57;Part Two;4.234.717.363;-7.109.644.390
I182079453;Medical Assistance;01/10/2018 20:12;Part Three;4.228.906.908;-7.112.116.753
I182079445;Simple Assault;01/10/2018 20:04;Part Two;4.235.007.201;-7.113.202.926
I182079441;Motor Vehicle Accident Response;01/10/2018 19:58;Part Three;4.230.537.848;-7.106.151.356
I182079437;Aggravated Assault;01/10/2018 19:40;Part One;4.235.602.373;-7.106.177.615
I182079432;Motor Vehicle Accident Response;01/10/2018 13:00;Part Three;4.233.210.843;-7.107.014.395
I182079426;Other;01/10/2018 18:39;Part Two;4.235.131.763;-7.105.838.367
I182079418;Other;01/10/2018 18:10;Part Two;4.230.369.670;-7.107.104.897
I182079410;Larceny;01/10/2018 17:46;Part One;4.235.103.105;-7.106.373.331
I182079403;Investigate Person;01/10/2018 16:56;Part Three;4.234.316.129;-7.107.313.460
I182079398;Simple Assault;01/10/2018 16:14;Part Two;4.226.857.609;-7.109.574.826
I182079393;Confidence Games;30/09/2018 14:00;Part Two;4.234.746.241;-7.109.826.597
I182079385;Towed;01/10/2018 16:40;Part Three;4.233.215.502;-7.105.699.099
