dataset2018_2_One.csv,0.5,168,50,0.25,72
1,"['Aggravated Assault', 'Homicide']",0.43
2,"['Larceny', 'Commercial Burglary']",0.36
3,"['Larceny', 'Aggravated Assault']",0.3
4,"['Larceny', 'Larceny From Motor Vehicle']",0.28
5,"['Larceny', 'Robbery']",0.28
6,"['Larceny', 'Auto Theft']",0.27
7,"['Larceny', 'Other Burglary']",0.27
times,28,0,0,0,0,0,28,0.25
dataset2018_One_4000.csv,0.5,168,50,0.25,72
1,"['Larceny', 'Robbery']",0.51
2,"['Larceny', 'Commercial Burglary']",0.47
3,"['Larceny', 'Other Burglary']",0.46
4,"['Larceny', 'Homicide']",0.46
5,"['Larceny', 'Aggravated Assault']",0.42
6,"['Larceny', 'Larceny From Motor Vehicle']",0.38
7,"['Larceny', 'Auto Theft']",0.38
8,"['Larceny', 'Residential Burglary']",0.37
9,"['Aggravated Assault', 'Homicide']",0.31
times,112,0,0,0,0,0,112,0.25
dataset2018_One_full.csv,0.5,168,50,0.25,72
1,"['Larceny', 'Robbery']",0.73
2,"['Larceny', 'Commercial Burglary']",0.7
3,"['Larceny', 'Aggravated Assault']",0.68
4,"['Larceny', 'Auto Theft']",0.67
5,"['Larceny', 'Larceny From Motor Vehicle']",0.67
6,"['Larceny', 'Other Burglary']",0.65
7,"['Larceny', 'Residential Burglary']",0.64
8,"['Larceny', 'Homicide']",0.58
9,"['Larceny From Motor Vehicle', 'Larceny']",0.5
10,"['Larceny From Motor Vehicle', 'Auto Theft']",0.49
11,"['Larceny From Motor Vehicle', 'Larceny', 'Commercial Burglary']",0.49
12,"['Aggravated Assault', 'Robbery']",0.48
13,"['Larceny From Motor Vehicle', 'Commercial Burglary']",0.48
14,"['Larceny From Motor Vehicle', 'Larceny', 'Robbery']",0.48
15,"['Larceny From Motor Vehicle', 'Aggravated Assault']",0.47
16,"['Aggravated Assault', 'Commercial Burglary']",0.46
17,"['Larceny From Motor Vehicle', 'Larceny', 'Auto Theft']",0.46
18,"['Larceny From Motor Vehicle', 'Larceny', 'Aggravated Assault']",0.46
19,"['Aggravated Assault', 'Larceny']",0.45
20,"['Larceny From Motor Vehicle', 'Robbery']",0.45
21,"['Aggravated Assault', 'Homicide']",0.45
22,"['Aggravated Assault', 'Larceny', 'Commercial Burglary']",0.45
23,"['Aggravated Assault', 'Larceny', 'Robbery']",0.45
24,"['Larceny From Motor Vehicle', 'Larceny', 'Other Burglary']",0.44
25,"['Larceny From Motor Vehicle', 'Residential Burglary']",0.43
26,"['Larceny From Motor Vehicle', 'Other Burglary']",0.42
27,"['Larceny', 'Larceny From Motor Vehicle', 'Commercial Burglary']",0.42
28,"['Larceny', 'Aggravated Assault', 'Robbery']",0.41
29,"['Aggravated Assault', 'Larceny', 'Auto Theft']",0.41
30,"['Aggravated Assault', 'Larceny', 'Larceny From Motor Vehicle']",0.41
31,"['Larceny', 'Larceny From Motor Vehicle', 'Auto Theft']",0.41
32,"['Aggravated Assault', 'Larceny From Motor Vehicle']",0.4
33,"['Larceny From Motor Vehicle', 'Homicide']",0.39
34,"['Larceny From Motor Vehicle', 'Larceny', 'Residential Burglary']",0.39
35,"['Larceny', 'Larceny From Motor Vehicle', 'Aggravated Assault']",0.39
36,"['Aggravated Assault', 'Auto Theft']",0.38
37,"['Aggravated Assault', 'Larceny', 'Other Burglary']",0.38
38,"['Larceny', 'Larceny From Motor Vehicle', 'Robbery']",0.38
39,"['Larceny', 'Larceny From Motor Vehicle', 'Other Burglary']",0.38
40,"['Aggravated Assault', 'Larceny', 'Residential Burglary']",0.37
41,"['Larceny', 'Aggravated Assault', 'Commercial Burglary']",0.36
42,"['Aggravated Assault', 'Other Burglary']",0.35
43,"['Aggravated Assault', 'Residential Burglary']",0.34
44,"['Larceny', 'Larceny From Motor Vehicle', 'Residential Burglary']",0.34
45,"['Larceny', 'Aggravated Assault', 'Homicide']",0.33
46,"['Larceny', 'Larceny From Motor Vehicle', 'Homicide']",0.33
47,"['Larceny From Motor Vehicle', 'Aggravated Assault', 'Homicide']",0.33
48,"['Larceny From Motor Vehicle', 'Larceny', 'Aggravated Assault', 'Robbery']",0.33
49,"['Larceny', 'Aggravated Assault', 'Larceny From Motor Vehicle']",0.32
50,"['Larceny From Motor Vehicle', 'Larceny', 'Aggravated Assault', 'Commercial Burglary']",0.32
51,"['Larceny From Motor Vehicle', 'Aggravated Assault', 'Commercial Burglary']",0.31
times,930,837,28,0,0,0,1795,0.32
