INCIDENT_NUMBER;OFFENSE_CODE_GROUP;OCCURRED_ON_DATE;UCR_PART;Lat;Long
I182005214;Larceny From Motor Vehicle;01/01/2018 00:00;Part One;4.235.314.550;-7.107.763.936
I182073776;Residential Burglary;01/01/2018 00:00;Part One;4.229.755.533;-7.105.970.910
I182000763;Larceny From Motor Vehicle;01/01/2018 01:30;Part One;4.238.374.886;-7.106.949.131
I182000040;Aggravated Assault;01/01/2018 02:23;Part One;4.235.040.583;-7.106.512.526
I182000051;Aggravated Assault;01/01/2018 02:50;Part One;4.231.298.674;-7.110.289.111
I182006785;Larceny;01/01/2018 07:00;Part One;4.228.079.658;-7.109.039.724
I182002024;Larceny;01/01/2018 10:00;Part One;4.231.993.295;-7.108.157.395
I182000145;Larceny;01/01/2018 13:35;Part One;4.234.862.382;-7.108.277.637
I182000161;Robbery;01/01/2018 14:59;Part One;4.231.584.636;-7.109.824.825
I182009509;Residential Burglary;01/01/2018 15:00;Part One;4.232.955.246;-7.111.112.429
I182000203;Larceny;01/01/2018 17:58;Part One;4.234.840.576;-7.108.688.339
I182000213;Aggravated Assault;01/01/2018 18:41;Part One;4.235.521.429;-7.106.206.351
I182000288;Larceny From Motor Vehicle;01/01/2018 23:00;Part One;4.228.790.635;-7.106.199.818
I182000262;Aggravated Assault;02/01/2018 00:00;Part One;4.234.521.100;-7.108.814.987
I182000270;Commercial Burglary;02/01/2018 01:58;Part One;4.231.252.546;-7.107.389.321
I182000456;Larceny From Motor Vehicle;02/01/2018 07:30;Part One;4.229.807.163;-7.105.771.622
I182000327;Larceny;02/01/2018 09:58;Part One;4.234.980.175;-7.107.840.978
I182000373;Larceny;02/01/2018 12:44;Part One;4.225.693.527;-7.112.384.450
I182000379;Auto Theft;02/01/2018 13:30;Part One;4.225.706.604;-7.112.237.932
I182000413;Auto Theft;02/01/2018 15:15;Part One;4.230.344.073;-7.106.674.608
I182006580;Larceny;02/01/2018 15:41;Part One;4.235.042.609;-7.116.637.332
I182000433;Larceny;02/01/2018 16:55;Part One;4.228.410.589;-7.104.608.937
I182001610;Larceny From Motor Vehicle;02/01/2018 20:00;Part One;4.234.797.240;-7.107.849.582
I182000540;Larceny From Motor Vehicle;02/01/2018 21:00;Part One;4.227.875.101;-7.106.509.431
I182000511;Robbery;02/01/2018 22:55;Part One;4.237.846.079;-7.103.345.662
I182000519;Larceny;03/01/2018 00:05;Part One;4.232.642.853;-7.108.628.759
I182002244;Larceny;03/01/2018 10:00;Part One;4.235.974.321;-7.106.799.009
I182001442;Residential Burglary;03/01/2018 11:00;Part One;4.233.013.124;-7.110.138.008
I182000943;Larceny;03/01/2018 12:00;Part One;4.229.919.694;-7.106.046.974
I182005721;Auto Theft;03/01/2018 14:00;Part One;4.225.395.990;-7.111.962.283
I182000796;Robbery;03/01/2018 15:00;Part One;4.226.194.848;-7.110.971.613
I182000693;Larceny From Motor Vehicle;03/01/2018 16:04;Part One;4.232.483.301;-7.110.164.757
I182000744;Aggravated Assault;03/01/2018 16:53;Part One;4.237.056.285;-7.106.077.324
I182002552;Larceny;03/01/2018 17:47;Part One;4.229.098.101;-7.107.589.348
I182001824;Commercial Burglary;03/01/2018 18:00;Part One;4.235.110.203;-7.105.735.186
I182000756;Larceny;03/01/2018 18:24;Part One;4.236.489.527;-7.106.050.249
I182000775;Larceny;03/01/2018 19:35;Part One;4.233.152.148;-7.107.085.307
I182000823;Larceny;03/01/2018 23:20;Part One;4.231.696.650;-7.108.254.058
I182000845;Robbery;04/01/2018 03:00;Part One;4.231.242.132;-7.109.154.902
I182003149;Larceny;04/01/2018 04:00;Part One;4.233.836.272;-7.115.441.001
I182000905;Larceny;04/01/2018 09:30;Part One;4.232.639.844;-7.111.152.626
I182000950;Larceny From Motor Vehicle;04/01/2018 11:35;Part One;4.230.703.332;-7.108.226.589
I182000972;Larceny;04/01/2018 16:30;Part One;4.226.994.732;-7.109.380.308
I182001031;Aggravated Assault;04/01/2018 22:11;Part One;4.228.492.596;-7.107.135.254
I182001043;Residential Burglary;05/01/2018 00:37;Part One;4.232.224.255;-7.108.277.356
I182001060;Residential Burglary;05/01/2018 07:24;Part One;4.234.977.000;-7.108.529.411
I182001117;Larceny;05/01/2018 12:24;Part One;4.227.839.920;-7.106.636.305
I182001129;Larceny;05/01/2018 14:16;Part One;4.234.932.471;-7.108.014.801
I182001310;Commercial Burglary;05/01/2018 15:00;Part One;4.233.800.322;-7.102.723.556
I182001220;Larceny;05/01/2018 17:50;Part One;4.235.602.373;-7.106.177.615
I182001201;Larceny;05/01/2018 19:13;Part One;4.233.697.857;-7.105.500.277
I182001303;Larceny From Motor Vehicle;05/01/2018 20:00;Part One;4.234.496.729;-7.106.382.224
I182001237;Larceny;05/01/2018 22:02;Part One;4.236.183.857;-7.105.976.489
I182001634;Larceny;06/01/2018 00:00;Part One;4.235.407.456;-7.105.533.533
I182001365;Aggravated Assault;06/01/2018 13:00;Part One;4.233.555.954;-7.107.436.364
I182001394;Robbery;06/01/2018 14:55;Part One;4.234.334.672;-7.106.643.142
I182001838;Larceny;06/01/2018 15:30;Part One;4.234.899.228;-7.103.930.255
I182001670;Larceny;06/01/2018 16:30;Part One;4.235.157.076;-7.107.186.599
I182001567;Larceny;06/01/2018 17:25;Part One;4.235.913.227;-7.107.074.326
I182001566;Larceny From Motor Vehicle;06/01/2018 18:00;Part One;4.233.506.218;-7.109.316.781
I182001450;Auto Theft;06/01/2018 20:52;Part One;4.234.601.613;-7.109.381.210
I182001943;Auto Theft;06/01/2018 21:30;Part One;4.236.243.437;-7.106.391.810
I182001466;Larceny;06/01/2018 22:17;Part One;4.236.064.470;-7.107.086.192
I182001488;Larceny;06/01/2018 23:41;Part One;4.226.470.249;-7.111.898.016
I182002104;Larceny;07/01/2018 03:00;Part One;4.231.893.878;-7.109.826.197
I182001550;Larceny From Motor Vehicle;07/01/2018 09:30;Part One;4.235.649.296;-7.105.259.107
I182006628;Auto Theft;07/01/2018 11:06;Part One;4.235.143.483;-7.106.969.334
I182001600;Aggravated Assault;07/01/2018 13:31;Part One;4.230.090.969;-7.107.425.843
I182001809;Larceny From Motor Vehicle;07/01/2018 16:00;Part One;4.237.736.388;-7.105.791.376
I182001684;Larceny;07/01/2018 19:28;Part One;4.229.057.504;-7.107.165.726
I182001700;Larceny;07/01/2018 21:34;Part One;4.233.395.125;-7.107.538.939
I182001799;Larceny From Motor Vehicle;07/01/2018 22:00;Part One;4.235.256.908;-7.107.978.844
I182001841;Larceny;08/01/2018 01:30;Part One;4.236.116.347;-7.106.391.344
I182001730;Robbery;08/01/2018 05:48;Part One;4.234.334.672;-7.106.643.142
I182002159;Larceny From Motor Vehicle;08/01/2018 06:30;Part One;4.228.647.169;-7.112.419.976
I182001804;Aggravated Assault;08/01/2018 08:00;Part One;4.234.339.388;-7.109.849.282
I182002074;Other Burglary;08/01/2018 09:00;Part One;4.224.249.788;-7.112.326.854
I182001790;Larceny;08/01/2018 10:30;Part One;4.233.123.776;-7.109.140.736
I182002100;Other Burglary;08/01/2018 12:15;Part One;4.235.145.666;-7.106.167.557
I182003899;Larceny;08/01/2018 13:45;Part One;4.234.730.980;-7.107.915.167
I182001875;Larceny;08/01/2018 15:25;Part One;4.227.531.312;-7.111.587.798
I182001889;Larceny;08/01/2018 16:52;Part One;4.236.039.960;-7.105.482.846
I182001942;Larceny From Motor Vehicle;08/01/2018 17:15;Part One;4.228.223.905;-7.109.162.956
I182002135;Residential Burglary;08/01/2018 18:00;Part One;4.230.116.123;-7.107.284.279
I182001928;Aggravated Assault;08/01/2018 18:52;Part One;4.225.653.339;-7.111.362.352
I182001948;Residential Burglary;08/01/2018 19:37;Part One;4.230.927.790;-7.107.868.791
I182001974;Aggravated Assault;08/01/2018 22:33;Part One;4.233.210.843;-7.107.014.395
I182002035;Larceny From Motor Vehicle;08/01/2018 23:00;Part One;4.235.235.362;-7.105.815.283
I182005450;Larceny;09/01/2018 00:00;Part One;4.234.848.082;-7.110.639.861
I182002079;Larceny;09/01/2018 09:58;Part One;4.235.648.631;-7.105.928.145
I182013450;Larceny;09/01/2018 12:00;Part One;4.227.700.963;-7.107.431.626
I182002131;Aggravated Assault;09/01/2018 13:28;Part One;4.227.685.989;-7.113.757.584
I182002143;Larceny;09/01/2018 14:30;Part One;4.226.701.085;-7.112.096.171
I182002169;Residential Burglary;09/01/2018 15:15;Part One;4.224.625.203;-7.112.479.983
I182002545;Larceny;09/01/2018 16:20;Part One;4.229.878.438;-7.106.011.998
I182002311;Larceny;09/01/2018 17:00;Part One;4.228.933.096;-7.108.351.742
I182002256;Larceny;09/01/2018 18:15;Part One;4.235.512.339;-7.106.087.980
I182002246;Robbery;09/01/2018 18:35;Part One;4.230.433.950;-7.108.477.887
I182004250;Larceny;09/01/2018 20:00;Part One;4.234.901.954;-7.108.130.134
I182002275;Larceny;09/01/2018 20:49;Part One;4.227.850.409;-7.111.860.697
I182002698;Robbery;09/01/2018 21:35;Part One;4.232.943.305;-7.108.333.026
I182002310;Larceny;09/01/2018 23:10;Part One;4.236.608.625;-7.105.696.428
I182002344;Auto Theft;10/01/2018 06:00;Part One;4.231.249.706;-7.105.731.757
I182002357;Larceny;10/01/2018 08:00;Part One;4.231.284.459;-7.109.676.806
I182002354;Larceny;10/01/2018 08:19;Part One;4.237.620.267;-7.103.979.926
I182004114;Larceny;10/01/2018 11:00;Part One;4.228.130.405;-7.111.573.817
I182002431;Larceny;10/01/2018 12:01;Part One;4.235.602.373;-7.106.177.615
I182002460;Robbery;10/01/2018 13:10;Part One;4.229.257.648;-7.107.179.406
I182003067;Larceny;10/01/2018 15:00;Part One;4.233.550.576;-7.104.291.647
I182004411;Larceny;10/01/2018 16:15;Part One;4.235.176.179;-7.107.452.168
I182002557;Aggravated Assault;10/01/2018 18:05;Part One;4.229.421.690;-7.111.985.262
I182002680;Larceny From Motor Vehicle;10/01/2018 19:00;Part One;4.231.741.922;-7.109.567.995
I182003002;Larceny;10/01/2018 19:59;Part One;4.234.797.240;-7.107.849.582
I182002630;Robbery;10/01/2018 21:52;Part One;4.235.528.211;-7.114.566.136
I182017805;Larceny From Motor Vehicle;10/01/2018 22:00;Part One;4.234.640.381;-7.107.551.289
I182002647;Larceny From Motor Vehicle;10/01/2018 23:14;Part One;4.231.790.476;-7.106.706.881
I182008682;Larceny;11/01/2018 00:00;Part One;4.233.961.962;-7.107.699.237
I182002662;Larceny From Motor Vehicle;11/01/2018 04:57;Part One;4.231.986.040;-7.106.434.120
I182002672;Residential Burglary;11/01/2018 07:25;Part One;4.229.095.286;-7.104.673.586
I182002766;Larceny;11/01/2018 10:11;Part One;4.227.892.368;-7.108.026.116
I182002714;Aggravated Assault;11/01/2018 10:52;Part One;4.228.536.992;-7.117.244.016
I182002879;Larceny;11/01/2018 13:00;Part One;4.235.124.688;-7.114.510.451
I182002801;Homicide;11/01/2018 14:03;Part One;4.230.545.103;-7.108.057.209
I182002785;Larceny From Motor Vehicle;11/01/2018 14:42;Part One;4.232.809.966;-7.106.321.676
I182002804;Larceny;11/01/2018 15:07;Part One;4.233.816.387;-7.107.461.217
I182002811;Aggravated Assault;11/01/2018 15:44;Part One;4.231.468.849;-7.109.843.548
I182002840;Larceny;11/01/2018 16:21;Part One;4.236.531.759;-7.105.707.791
I182006572;Auto Theft;11/01/2018 17:04;Part One;4.235.143.483;-7.106.969.334
I182003017;Larceny From Motor Vehicle;11/01/2018 18:00;Part One;4.234.667.830;-7.106.592.559
I182002864;Robbery;11/01/2018 18:20;Part One;4.233.903.069;-7.109.688.153
I182003181;Aggravated Assault;11/01/2018 19:00;Part One;4.233.152.148;-7.107.085.307
I182002881;Aggravated Assault;11/01/2018 20:00;Part One;4.227.791.465;-7.109.452.937
I182002930;Aggravated Assault;11/01/2018 22:57;Part One;4.233.210.843;-7.107.014.395
I182002968;Larceny From Motor Vehicle;12/01/2018 00:01;Part One;4.238.574.368;-7.101.186.957
I182002952;Aggravated Assault;12/01/2018 01:12;Part One;4.235.925.113;-7.105.415.945
I182003248;Auto Theft;12/01/2018 09:00;Part One;4.230.369.670;-7.107.104.897
I182003043;Larceny From Motor Vehicle;12/01/2018 10:40;Part One;4.233.828.866;-7.107.908.476
I182006700;Auto Theft;12/01/2018 12:00;Part One;4.229.042.439;-7.106.380.740
I182003103;Larceny;12/01/2018 12:22;Part One;4.230.576.686;-7.108.097.517
I182003840;Commercial Burglary;12/01/2018 16:00;Part One;4.235.422.020;-7.105.627.778
I182003197;Larceny;12/01/2018 18:00;Part One;4.235.450.139;-7.105.916.774
I182003186;Aggravated Assault;12/01/2018 18:46;Part One;4.232.300.514;-7.108.081.696
I182003211;Aggravated Assault;12/01/2018 19:15;Part One;4.236.967.378;-7.104.155.054
I182003219;Larceny From Motor Vehicle;12/01/2018 20:00;Part One;4.224.894.017;-7.112.130.622
I182003420;Larceny From Motor Vehicle;12/01/2018 21:00;Part One;4.231.615.184;-7.109.795.135
I182003243;Larceny;12/01/2018 22:22;Part One;4.234.322.816;-7.106.343.087
I182003461;Robbery;12/01/2018 23:30;Part One;4.235.952.721;-7.105.358.839
I182003269;Larceny;13/01/2018 00:18;Part One;4.234.715.987;-7.107.026.381
I182003492;Larceny;13/01/2018 02:58;Part One;4.235.358.129;-7.106.236.665
I182021734;Larceny;13/01/2018 08:00;Part One;4.236.780.297;-7.103.943.328
I182003354;Auto Theft;13/01/2018 10:45;Part One;4.230.369.009;-7.110.847.281
I182003360;Larceny;13/01/2018 12:17;Part One;4.235.258.991;-7.113.683.423
I182003376;Aggravated Assault;13/01/2018 12:46;Part One;4.231.466.062;-7.107.623.072
I182004682;Larceny;13/01/2018 13:00;Part One;4.234.044.966;-7.108.845.935
I182003826;Larceny From Motor Vehicle;13/01/2018 14:00;Part One;4.233.810.945;-7.103.749.747
I182003426;Robbery;13/01/2018 14:11;Part One;4.226.726.416;-7.109.461.109
I182003417;Larceny;13/01/2018 14:41;Part One;4.236.033.536;-7.107.081.975
I182003436;Larceny From Motor Vehicle;13/01/2018 15:08;Part One;4.231.785.924;-7.108.103.560
I182003446;Larceny;13/01/2018 15:35;Part One;4.235.736.588;-7.105.250.551
I182003452;Larceny From Motor Vehicle;13/01/2018 16:36;Part One;4.233.416.417;-7.104.669.326
I182003463;Aggravated Assault;13/01/2018 17:30;Part One;4.235.213.476;-7.106.266.757
I182003476;Aggravated Assault;13/01/2018 18:12;Part One;4.228.581.121;-7.107.115.483
I182003511;Residential Burglary;13/01/2018 19:15;Part One;4.235.484.754;-7.116.657.919
I182003667;Larceny;13/01/2018 19:49;Part One;4.234.797.240;-7.107.849.582
I182003502;Residential Burglary;13/01/2018 20:36;Part One;4.234.385.799;-7.107.953.502
I182003521;Aggravated Assault;13/01/2018 22:39;Part One;4.232.283.759;-7.110.096.723
I182004700;Larceny;13/01/2018 23:30;Part One;4.235.066.174;-7.106.602.232
I182003720;Larceny;14/01/2018 01:30;Part One;4.234.535.675;-7.108.909.650
I182003563;Aggravated Assault;14/01/2018 03:21;Part One;4.232.446.169;-7.105.684.445
I182003604;Larceny;14/01/2018 09:30;Part One;4.231.506.898;-7.109.746.579
I182003602;Larceny;14/01/2018 10:39;Part One;4.236.303.798;-7.105.524.751
I182003703;Larceny;14/01/2018 11:30;Part One;4.234.932.471;-7.108.014.801
I182003672;Larceny;14/01/2018 12:25;Part One;4.234.797.240;-7.107.849.582
I182003678;Residential Burglary;14/01/2018 13:30;Part One;4.234.047.400;-7.115.952.930
I182003665;Larceny;14/01/2018 14:39;Part One;4.231.860.134;-7.108.405.792
I182003716;Aggravated Assault;14/01/2018 15:58;Part One;4.231.803.027;-7.107.787.472
I182003712;Aggravated Assault;14/01/2018 17:25;Part One;4.231.860.134;-7.108.405.792
I182003730;Larceny;14/01/2018 19:10;Part One;4.236.489.527;-7.106.050.249
I182003850;Larceny From Motor Vehicle;14/01/2018 20:30;Part One;4.233.449.822;-7.102.713.033
I182003765;Aggravated Assault;14/01/2018 21:13;Part One;4.236.497.550;-7.106.204.400
I182003805;Larceny From Motor Vehicle;15/01/2018 02:30;Part One;4.235.468.641;-7.113.703.733
I182003820;Larceny;15/01/2018 04:22;Part One;4.229.767.279;-7.104.941.018
I182004081;Residential Burglary;15/01/2018 08:07;Part One;4.229.910.777;-7.106.829.572
I182003854;Larceny From Motor Vehicle;15/01/2018 09:02;Part One;4.228.701.738;-7.107.706.453
I182003882;Larceny From Motor Vehicle;15/01/2018 11:32;Part One;4.231.812.574;-7.109.025.637
I182003909;Larceny;15/01/2018 13:25;Part One;4.234.797.240;-7.107.849.582
I182003920;Larceny;15/01/2018 14:00;Part One;4.235.073.963;-7.113.047.909
I182003922;Larceny;15/01/2018 14:19;Part One;4.232.483.301;-7.110.164.757
I182003943;Aggravated Assault;15/01/2018 15:00;Part One;4.225.189.440;-7.112.535.310
I162091514;Larceny;15/01/2018 17:15;Part One;4.226.128.526;-7.112.155.250
I182004198;Robbery;15/01/2018 18:30;Part One;4.228.319.809;-7.109.098.657
I182004007;Aggravated Assault;15/01/2018 19:45;Part One;4.231.538.436;-7.109.870.021
I182004020;Larceny From Motor Vehicle;15/01/2018 21:20;Part One;4.232.701.527;-7.106.704.910
I182004037;Aggravated Assault;15/01/2018 22:24;Part One;4.230.859.903;-7.110.539.197
I182004058;Aggravated Assault;16/01/2018 00:56;Part One;4.229.478.707;-7.108.206.875
I182004072;Aggravated Assault;16/01/2018 05:10;Part One;4.234.255.919;-7.106.270.824
I182004075;Larceny;16/01/2018 06:28;Part One;4.236.489.527;-7.106.050.249
I182004374;Larceny;16/01/2018 09:00;Part One;4.236.045.096;-7.105.644.018
I182010278;Larceny;16/01/2018 11:09;Part One;4.224.770.696;-7.111.140.369
I182004139;Larceny From Motor Vehicle;16/01/2018 13:00;Part One;4.231.930.194;-7.105.273.762
I182005537;Larceny;16/01/2018 13:00;Part One;4.236.240.281;-7.106.954.652
I182004222;Larceny;16/01/2018 14:20;Part One;4.234.701.666;-7.106.886.238
I182004209;Larceny;16/01/2018 15:35;Part One;4.231.776.637;-7.108.207.709
I182004738;Larceny From Motor Vehicle;16/01/2018 16:22;Part One;4.228.709.355;-7.114.822.128
I182004230;Aggravated Assault;16/01/2018 17:09;Part One;4.231.776.637;-7.108.207.709
I182004229;Larceny;16/01/2018 17:20;Part One;4.235.231.190;-7.106.370.510
I182004729;Residential Burglary;16/01/2018 18:00;Part One;4.227.711.444;-7.113.447.097
I182005654;Larceny;16/01/2018 18:30;Part One;4.235.997.967;-7.105.474.135
I182004267;Robbery;16/01/2018 19:24;Part One;4.234.717.363;-7.109.644.390
I182004509;Larceny From Motor Vehicle;16/01/2018 20:30;Part One;4.234.980.175;-7.107.840.978
I182004328;Larceny;17/01/2018 00:04;Part One;4.235.157.221;-7.106.353.927
I182004334;Larceny From Motor Vehicle;17/01/2018 02:02;Part One;4.234.573.301;-7.106.485.053
I182004346;Larceny;17/01/2018 05:28;Part One;4.233.878.962;-7.114.977.720
I182004358;Aggravated Assault;17/01/2018 06:32;Part One;4.235.157.076;-7.107.186.599
I182004470;Other Burglary;17/01/2018 07:00;Part One;4.234.531.664;-7.114.298.078
I182004561;Larceny From Motor Vehicle;17/01/2018 07:30;Part One;4.235.361.371;-7.112.967.302
I182004372;Auto Theft;17/01/2018 08:51;Part One;4.231.771.534;-7.109.823.049
I182004383;Larceny;17/01/2018 09:30;Part One;4.228.718.942;-7.112.954.583
I182004386;Larceny From Motor Vehicle;17/01/2018 10:32;Part One;4.228.339.069;-7.107.388.628
I182004388;Larceny;17/01/2018 10:46;Part One;4.233.568.335;-7.107.043.382
I182011835;Larceny;17/01/2018 12:00;Part One;4.235.218.613;-7.108.452.171
I182004458;Auto Theft;17/01/2018 12:37;Part One;4.231.341.383;-7.107.789.593
I182004475;Larceny;17/01/2018 14:28;Part One;4.235.393.493;-7.113.652.595
I182004522;Larceny;17/01/2018 14:53;Part One;4.238.093.345;-7.104.023.929
I182004497;Larceny From Motor Vehicle;17/01/2018 16:41;Part One;4.230.433.950;-7.108.477.887
I182004538;Larceny;17/01/2018 17:37;Part One;4.233.857.000;-7.110.670.681
I182004557;Aggravated Assault;17/01/2018 19:19;Part One;4.236.045.096;-7.105.644.018
I182004642;Larceny From Motor Vehicle;17/01/2018 21:00;Part One;4.230.671.755;-7.105.862.903
I182004587;Auto Theft;17/01/2018 23:08;Part One;4.231.537.220;-7.106.504.716
I182004833;Commercial Burglary;18/01/2018 01:00;Part One;4.230.470.399;-7.105.908.258
I182004605;Larceny;18/01/2018 02:33;Part One;4.234.866.017;-7.116.801.858
I182004621;Larceny;18/01/2018 08:15;Part One;4.234.999.733;-7.108.103.440
I182005701;Larceny;18/01/2018 11:59;Part One;4.234.797.240;-7.107.849.582
I182004706;Larceny;18/01/2018 13:40;Part One;4.234.862.382;-7.108.277.637
I182004922;Larceny From Motor Vehicle;18/01/2018 14:00;Part One;4.233.416.161;-7.107.989.104
I182004714;Larceny;18/01/2018 14:45;Part One;4.231.127.465;-7.111.448.366
I182004730;Larceny;18/01/2018 15:23;Part One;4.225.189.440;-7.112.535.310
I182004755;Larceny;18/01/2018 16:44;Part One;4.235.245.899;-7.112.805.084
I182004786;Larceny;18/01/2018 18:18;Part One;4.235.325.379;-7.104.872.410
I182004802;Aggravated Assault;18/01/2018 19:06;Part One;4.229.098.335;-7.108.912.013
I182004820;Larceny;18/01/2018 20:00;Part One;4.233.662.706;-7.102.769.199
I182004843;Auto Theft;18/01/2018 22:00;Part One;4.231.860.134;-7.108.405.792
I182004848;Aggravated Assault;18/01/2018 22:14;Part One;4.235.912.459;-7.105.695.844
I182005152;Larceny From Motor Vehicle;19/01/2018 00:00;Part One;4.232.177.032;-7.109.779.774
I182004860;Auto Theft;19/01/2018 00:20;Part One;4.230.896.999;-7.108.284.839
I182004873;Larceny;19/01/2018 02:31;Part One;4.235.942.556;-7.105.288.819
I182004879;Robbery;19/01/2018 07:35;Part One;4.231.610.241;-7.107.756.199
I182005147;Larceny From Motor Vehicle;19/01/2018 08:16;Part One;4.234.891.347;-7.106.221.241
I182004949;Larceny;19/01/2018 09:03;Part One;4.235.563.262;-7.105.264.582
I182004908;Residential Burglary;19/01/2018 10:25;Part One;4.237.546.382;-7.103.320.819
I182005674;Larceny;19/01/2018 11:45;Part One;4.228.085.355;-7.111.880.157
I182005723;Residential Burglary;19/01/2018 13:00;Part One;4.237.685.200;-7.106.887.255
I182004993;Robbery;19/01/2018 14:37;Part One;4.229.147.188;-7.106.270.799
I182005004;Larceny;19/01/2018 15:01;Part One;4.227.997.063;-7.109.553.354
I182005036;Larceny;19/01/2018 16:00;Part One;4.234.493.428;-7.106.366.374
I182015530;Larceny;19/01/2018 16:00;Part One;4.232.781.789;-7.108.302.925
I182005014;Larceny From Motor Vehicle;19/01/2018 16:38;Part One;4.232.729.205;-7.109.159.029
I182006186;Larceny;19/01/2018 17:00;Part One;4.235.825.495;-7.106.173.472
I182005040;Aggravated Assault;19/01/2018 17:42;Part One;4.228.594.600;-7.115.539.820
I182005237;Residential Burglary;19/01/2018 18:23;Part One;4.230.545.318;-7.106.956.313
I182011602;Larceny From Motor Vehicle;19/01/2018 19:30;Part One;4.235.110.203;-7.105.735.186
I182007395;Larceny;19/01/2018 20:15;Part One;4.235.325.379;-7.104.872.410
I182006839;Robbery;19/01/2018 20:45;Part One;4.233.857.289;-7.105.575.501
I182005768;Larceny;19/01/2018 21:00;Part One;4.228.181.378;-7.105.958.369
I182005088;Larceny;19/01/2018 21:10;Part One;4.231.929.343;-7.111.178.236
I182005164;Larceny From Motor Vehicle;19/01/2018 23:00;Part One;4.232.952.009;-7.105.826.063
I182009685;Larceny;20/01/2018 00:00;Part One;4.233.548.200;-7.107.586.449
I182005318;Residential Burglary;20/01/2018 08:00;Part One;4.230.815.560;-7.108.626.348
I182005187;Larceny;20/01/2018 10:50;Part One;4.230.369.670;-7.107.104.897
I182005201;Larceny From Motor Vehicle;20/01/2018 11:10;Part One;4.235.064.439;-7.106.811.584
I182005236;Larceny;20/01/2018 12:51;Part One;4.228.187.061;-7.108.751.152
I182005264;Aggravated Assault;20/01/2018 15:48;Part One;4.235.037.870;-7.107.626.098
I182005293;Residential Burglary;20/01/2018 17:22;Part One;4.228.548.467;-7.113.894.626
I182008971;Larceny;20/01/2018 18:00;Part One;4.225.407.650;-7.114.299.321
I182005319;Larceny;20/01/2018 19:08;Part One;4.235.602.373;-7.106.177.615
I182005325;Residential Burglary;20/01/2018 20:25;Part One;4.234.082.366;-7.105.587.910
I182005329;Aggravated Assault;20/01/2018 20:52;Part One;4.231.591.905;-7.109.691.295
I182005345;Larceny;20/01/2018 21:06;Part One;4.238.020.475;-7.105.741.400
I182005465;Larceny From Motor Vehicle;20/01/2018 23:50;Part One;4.230.418.986;-7.108.377.110
I182005376;Aggravated Assault;21/01/2018 01:25;Part One;4.235.300.247;-7.104.502.270
I182005389;Aggravated Assault;21/01/2018 02:30;Part One;4.235.551.571;-7.107.231.200
I182005412;Larceny;21/01/2018 08:04;Part One;4.236.303.798;-7.105.524.751
I182005468;Larceny;21/01/2018 10:00;Part One;4.234.624.311;-7.108.568.046
I182006233;Larceny;21/01/2018 12:00;Part One;4.231.224.327;-7.107.549.901
I182005695;Aggravated Assault;21/01/2018 13:00;Part One;4.231.578.000;-7.106.639.900
I182005652;Larceny From Motor Vehicle;21/01/2018 15:00;Part One;4.237.568.399;-7.103.624.887
I182005923;Larceny From Motor Vehicle;21/01/2018 16:00;Part One;4.228.193.144;-7.113.696.704
I182005503;Robbery;21/01/2018 16:54;Part One;4.235.602.373;-7.106.177.615
I182005506;Larceny;21/01/2018 17:28;Part One;4.234.091.586;-7.108.771.531
I182005511;Larceny;21/01/2018 17:44;Part One;4.235.736.588;-7.105.250.551
I182005555;Aggravated Assault;21/01/2018 19:15;Part One;4.236.489.527;-7.106.050.249
I182007071;Larceny From Motor Vehicle;21/01/2018 20:00;Part One;4.232.525.339;-7.109.670.872
I182005567;Aggravated Assault;21/01/2018 21:48;Part One;4.236.148.163;-7.105.719.146
I182005896;Larceny From Motor Vehicle;22/01/2018 03:50;Part One;4.228.465.991;-7.107.839.997
I182005661;Aggravated Assault;22/01/2018 08:50;Part One;4.232.639.844;-7.111.152.626
I182005668;Larceny From Motor Vehicle;22/01/2018 10:15;Part One;4.233.971.305;-7.104.707.384
